Feature,Importance
Tenure Months,0.15587083494675918
Total Charges,0.13797975754956246
Monthly Charges,0.1366323478886844
Contract,0.13347411327278966
Online Security,0.07178986726594323
Dependents,0.05729494335348098
Tech Support,0.056828101710587026
Internet Service,0.0424501205837572
Payment Method,0.040536346254662445
Online Backup,0.02808520353056706
Paperless Billing,0.02295324905668162
Multiple Lines,0.019631765893155538
Device Protection,0.01855295966033052
Partner,0.01701437522758532
Gender,0.015905542887780195
Streaming TV,0.01398786048915397
Streaming Movies,0.013189037841772517
Senior Citizen,0.012799801724044997
Phone Service,0.005023770862701622
